Sl.No,City,State,Charger Name,Address,Latitude,Longitude,Pincode,Charger Type,Qty,Mobile App,CPO Name,Make of Charger
1,Thiruvananthapuram,Kerala,KSEB DC Nemom,"KSEB Section, Nemom, Thiruvananthapuram",8.45383,77.004068,695020,CCS 2 30kW,1,chargeMOD,KSEB,Masstech
2,Kollam,Kerala,KSEB DC Olai,"High School Junction, Olayil, Kollam",8.89273,76.57897,691009,CCS 2 30kW,1,chargeMOD,KSEB,Masstech
3,Ernakulam,Kerala,KSEB DC Palarivattom,"Palarivattom - Edappally Rd, Palarivattom, Ernakulam",10.00525,76.30495,682025,CCS 2 30kW,1,chargeMOD,KSEB,Masstech
4,Thrissur,Kerala,KSEB DC Viyyur,"Near Viyyur Sub Jail, Viyyur, Thrissur",10.559333,76.217514,680010,CCS 2 30kW,1,chargeMOD,KSEB,Masstech
5,Kozhikode,Kerala,KSEB DC Nallalam,"Calicut Rd, Areekkad, Kozhikode",11.208826,75.808295,673018,CCS 2 30kW,1,chargeMOD,KSEB,Masstech
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Masstech
6,Kannur,Kerala,KSEB DC Chovva,"SH66, Melechowa South, Kannur",11.868869,75.403036,670331,CCS 2 30kW,1,chargeMOD,KSEB,Masstech
7,Ernakulam,Kerala,KSEB DC Mattanchery,"Near Santhom Church, Thoppumpadi, Ernakulam",9.932897,76.252741,682507,CCS 2 30kW,2,chargeMOD,KSEB,Okaya
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Okaya
,,,,,,,,Level 1 3.3kW,1,chargeMOD,KSEB,Okaya
8,Palakkad,Kerala,KSEB DC Kootanad,"Near Sub Station, Koottanad, Palakkad",10.758434,76.130534,679533,CCS 2 30kW,1,chargeMOD,KSEB,Okaya
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Okaya
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Okaya
9,Ernakulam,Kerala,KSEB DC Kothamangalam,"Near Sub Station, Kothamangalam, Ernakulam",10.05411,76.615471,686691,CCS 2 30kW,2,chargeMOD,KSEB,Okaya
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Okaya
,,,,,,,,Level 1 3.3kW,1,chargeMOD,KSEB,Okaya
10,Kollam,Kerala,KSEB DC Karunagappally,"Opposite Govt. Girls High School, Karunagappally, Kollam",9.059285,76.534115,690573,CCS 2 30kW,2,chargeMOD,KSEB,Okaya
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Okaya
,,,,,,,,Level 1 3.3kW,1,chargeMOD,KSEB,Okaya
11,Kollam,Kerala,KSEB DC Kottarakkara,"Kottarakkara - Edakkidom - Nedumankavu Rd, Kottarakkara, Kollam",8.99928,76.76914,691506,CCS 2 30kW,2,chargeMOD,KSEB,Okaya
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Okaya
12,Idukki,Kerala,KSEB DC Thodupuzha,"Near KSEB Section Office, Thodupuzha, Idukki",9.892131,76.708519,685608,CCS 2 30kW,2,chargeMOD,KSEB,Okaya
13,Kottayam,Kerala,KSEB DC Kottayam,"Opposite Just Overseas Studies Pvt. Ltd, Baker Hill, Kottayam",9.592393,76.525203,686002,CCS 2 30kW,2,chargeMOD,KSEB,Okaya
14,Kottayam,Kerala,KSEB DC Pallom,"Near KSEB TMR Division, Pallom, Kottayam",9.542873,76.514119,686007,CHadeMO 60kW,1,chargeMOD,KSEB,Okaya
,,,,,,,,CCS 2 30kW,1,chargeMOD,KSEB,Okaya
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Okaya
15,Pathanamthitta,Kerala,KSEB DC Pathanamthitta,"Near 110kV Sub Station, Power House Junction, Pathanamthitta",9.255476,76.782968,689645,CCS 2 30kW,2,chargeMOD,KSEB,Okaya
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Okaya
16,Pathanamthitta,Kerala,KSEB DC Thiruvalla,"Near KSEB Sub Station, Thiruvalla, Pathanamthitta",9.385287,76.584821,689105,CCS 2 30kW,2,chargeMOD,KSEB,Okaya
,,,,,,,,Level 1 3.3kW,3,chargeMOD,KSEB,Okaya
17,Pathanamthitta,Kerala,KSEB DC Pamba,"Pamba - Sabarimala Rd, Mannarkulanji, Pamba, Pathanamthitta",9.412544,77.070062,689662,CCS 2 30kW,2,chargeMOD,KSEB,Okaya
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Okaya
18,Palakkad,Kerala,KSEB DC Nenmara,"Near KSEB Sub Station, Nenmara, Palakkad",10.59392,76.583623,678508,CCS 2 30kW,1,chargeMOD,KSEB,Okaya
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Okaya
19,Thiruvananthapuram,Kerala,KSEB DC Paruthipara,"Near KSEB Office, Paruthippara, Thiruvananthapuram",8.535051,76.942231,695004,CCS 2 30kW,2,chargeMOD,KSEB,Okaya
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Okaya
20,Wayanad,Kerala,KSEB DC Banasura Sagar,"Banasura Sagar Dam Parking, Padinjarathara, Wayanad",11.673154,75.957409,673122,CCS 2 30kW,2,chargeMOD,KSEB,Okaya
21,Alappuzha,Kerala,KSEB DC Punnapra,"Near KSEB 220 KV SUBSTATION, Kuravanthodu, Punnapra, Alappuzha",9.425684,76.346805,688005,CCS 2 30kW,2,chargeMOD,KSEB,Okaya
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Okaya
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Okaya
,,,,,,,,Level 1 3.3kW,3,chargeMOD,KSEB,Okaya
22,Thiruvananthapuram,Kerala,KSEB DC Vydyuthi Bhavan,"Vydyuthi Bhavan, Vrindavan Gardens, Pattom, Thiruvananthapuram",8.516602,76.93938,695004,CCS 2 30kW,2,chargeMOD,KSEB,Okaya
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Okaya
23,Thiruvananthapuram,Kerala,KSEB DC Neyyattinkara,"Near KSEB Section Office, Neyyattinkara, Thiruvananthapuram",8.408533,77.082152,695126,CHAdeMO 60kW,1,chargeMOD,KSEB,Okaya
,,,,,,,,CCS 2 30kW,1,chargeMOD,KSEB,Okaya
24,Palakkad,Kerala,KSEB DC Vadakkenchery,"Near KSEB Sub Station, Vadakkanchery, Palakkad",10.597953,76.479818,678683,CHAdeMO 60kW,1,chargeMOD,KSEB,Okaya
,,,,,,,,CCS 2 30kW,1,chargeMOD,KSEB,Okaya
25,Ernakulam,Kerala,KSEB DC Muvattupuzha,"Near KSEB Sub Station, Pezhakkappilly, Ernakulam",10.015961,76.565445,686674,CCS 2 30kW,2,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,1,chargeMOD,KSEB,Tirex
26,Kottayam,Kerala,KSEB DC Gandhi Nagar,"Medical College Rd, Gandhi Nagar, Arpookara, Kottayam",9.632747,76.524427,686008,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
